id,source_file,work_order,customer_name,entry_date,operator,part_name,start_time,finish_time,process_time,total_time,material,material_size,total_parts,yield_status,scrap_count,defects_count,notes,department,created_at,updated_at
25223,AOC 38309.xlsx,,AOC,2024-12-31,"F,H",W13542,07:30:00,03:20:00,,,,,,,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
25226,AOC 38309.xlsx,,AOC,2025-01-02,"F,H",W13542,07:00:00,02:45:00,,,,,,,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
25302,STEELTECH 19662.xlsx,,STEELTECH,2025-01-03,"F,H",C83028,08:45:00,11:15:00,,2.25,BLK HDPE,.25X48X96,,20 PCS.,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
25303,STEELTECH 19662.xlsx,,STEELTECH,2025-01-03,"F,H",C83029,11:20:00,02:20:00,,2.25,BLK HDPE,.25X48X96,,20 PCS.,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
22167,MATCON PO 1002351.xlsx,1002351,MATCON,2025-01-07,"F,H","K,1",07:30:00,10:15:00,,2.75,UHMW NAT,"1""X48X96",,"3 PCS,",,,,,2025-12-23 18:52:38,2025-12-23 18:52:38
22168,MATCON PO 1002351.xlsx,1002351,MATCON,2025-01-07,"F,H","J,1",10:30:00,12:00:00,,1.5,UHMW NAT,"1""X48X96",,"3 PCS,",,,,,2025-12-23 18:52:38,2025-12-23 18:52:38
25482,AMI 19109.xlsx,,AMI,2025-01-07,"F,H",DET 57,01:00:00,02:45:00,,1.5,,,,,,,,,2025-12-23 18:52:49,2025-12-23 18:52:49
25483,AMI 19109.xlsx,,AMI,2025-01-08,"F,H",DET 57,08:45:00,09:45:00,,1.0,,,,,,,,,2025-12-23 18:52:49,2025-12-23 18:52:49
25485,AMI 19109.xlsx,,AMI,2025-01-08,"F,H",DET 77,10:00:00,01:30:00,,3.0,,,,,,,,,2025-12-23 18:52:49,2025-12-23 18:52:49
22652,RICHFIELD 60908.xlsx,,RICHFIELD,2025-01-09,"F,H",C82511,10:45:00,11:00:00,,0.25,P-COOR,4MMX48X96,,8,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22653,RICHFIELD 60908.xlsx,,RICHFIELD,2025-01-09,"F,H",C82510,11:10:00,11:30:00,,0.25,P-COOR,4MMX48X96,,7,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22654,RICHFIELD 60908.xlsx,,RICHFIELD,2025-01-09,"F,H",C82509,11:45:00,12:45:00,,0.5,P-COOR,4MMX48X96,,2,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22655,RICHFIELD 60908.xlsx,,RICHFIELD,2025-01-09,"F,H",C82513,01:00:00,02:45:00,,1.5,P-COOR,4MMX48X96,,1,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22657,RICHFIELD 60908.xlsx,,RICHFIELD,2025-01-09,"F,H",C82512,02:50:00,03:15:00,,0.5,,4MMX48X96,,1,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22659,RICHFIELD 60908.xlsx,,RICHFIELD,2025-01-10,"F,H",C85512,07:00:00,08:00:00,,1.0,,4MMX48X96,,1,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
25786,DIAMOND 406553.xlsx,,DIAMOND,2025-01-20,"F,H",C82319,08:45:00,03:20:00,,5.75,P-CORR,5MM48X96,,2 PCS.,,,,,2025-12-23 18:52:49,2025-12-23 18:52:49
25791,DIAMOND 406553.xlsx,,DIAMOND,2025-01-21,"F,H",C82319,07:30:00,02:00:00,,5.5,P-CORR,5MM48X96,,2 PCS.,,,,,2025-12-23 18:52:49,2025-12-23 18:52:49
24373,GEM IL 400008.xlsx,,GEM IL,2025-01-22,"F,H",C82522,11:30:00,01:00:00,,1.0,UHMW,SCRAP,,,,,,,2025-12-23 18:52:44,2025-12-23 18:52:44
24374,GEM IL 400008.xlsx,,GEM IL,2025-01-22,"F,H",C82523,01:15:00,01:53:00,,0.75,UHMW,SCRAP,,,,,,,2025-12-23 18:52:44,2025-12-23 18:52:44
24375,GEM IL 400008.xlsx,,GEM IL,2025-01-22,"F,H",C82524,02:30:00,03:00:00,,0.5,UHMW,SCRAP,,,,,,,2025-12-23 18:52:44,2025-12-23 18:52:44
25797,DIAMOND 406553.xlsx,,DIAMOND,2025-01-22,"F,H",C82319,07:30:00,08:45:00,,1.25,P-CORR,5MM48X96,,2 PCS.,,,,,2025-12-23 18:52:49,2025-12-23 18:52:49
24376,GEM IL 400008.xlsx,,GEM IL,2025-01-23,"F,H",C82525,08:00:00,08:40:00,,0.75,UHMW,SCRAP,,,,,,,2025-12-23 18:52:44,2025-12-23 18:52:44
24377,GEM IL 400008.xlsx,,GEM IL,2025-01-23,"F,H",C82526,09:15:00,10:35:00,,1.0,UHMW,SCRAP,,,,,,,2025-12-23 18:52:44,2025-12-23 18:52:44
24378,GEM IL 400008.xlsx,,GEM IL,2025-01-23,"F,H",C82527,10:45:00,11:55:00,,1.25,UHMW,SCRAP,,,,,,,2025-12-23 18:52:44,2025-12-23 18:52:44
22620,Richfield 60725.xlsx,,Richfield,2025-01-24,"F,H",15514 DET 52,07:30:00,03:15:00,,,,,,,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22622,Richfield 60725.xlsx,,Richfield,2025-01-27,"F,H",15514 DET 52,08:30:00,03:15:00,,,,,,,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22689,NOVA 28113.xlsx,,NOVA,2025-01-27,"F,H",C82536,07:30:00,08:15:00,,,HDPE,.125X48X96,,10 PCS.,,,,,2025-12-23 18:52:40,2025-12-23 18:52:40
22623,Richfield 60725.xlsx,,Richfield,2025-01-28,"F,H",15514 DET 52,08:00:00,09:15:00,,,,,,,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22730,MATCON 1002374.xlsx,,MATCON,2025-01-28,"F,H",C82171,11:30:00,03:00:00,,2.75,HDPE 1.25,SCRAP,,,,,,,2025-12-23 18:52:40,2025-12-23 18:52:40
20654,VCI MI100090.xlsx,,VCI MI100090,2025-01-30,"F,H",C82537,10:15:00,03:30:00,,4.5,NAT HDPE,SCRAP,9,,,,,,2025-12-23 18:52:34,2025-12-23 18:52:34
19345,RICHFIELD 60982.xlsx,,RICHFIELD,2025-01-31,FH,DET 59,03:00:00,03:15:00,,0.25,NAT HDPE,SCRAP,11,SCRAP,1,,,,2025-12-23 18:52:30,2025-12-23 18:52:30
19346,RICHFIELD 60982.xlsx,,RICHFIELD,2025-01-31,FH,DET 48,03:15:00,03:30:00,,0.25,NAT HDPE,,11,SCRAP,1,,,,2025-12-23 18:52:30,2025-12-23 18:52:30
21006,CURBELL 4500558571.xlsx,,CURBELL,2025-01-31,"F,H",C82504,12:45:00,01:45:00,,,UHMW .250,SCRAP BLK,,,,,,,2025-12-23 18:52:35,2025-12-23 18:52:35
25181,VCI 100106.xlsx,,VCI,2025-01-31,"F,H",C82559,10:30:00,10:40:00,,,HDPE 1.25,SCRAP  BLK,,,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
25182,VCI 100106.xlsx,,VCI,2025-01-31,"F,H",C82560,10:50:00,11:20:00,,,"HDPE 1""",SCRAP  BLK,,,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
21342,GEM IL400061.xlsx,,GEM IL400061,2025-02-03,"F,H",C82542,12:45:00,03:15:00,,,HDPE WHITE,SCRAP,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
22869,STEELTECH 200046.xlsx,,STEELTECH,2025-02-03,"F,H",C82568,11:00:00,11:15:00,,,.25 HDPE BLK,SCRAP,,,,,,,2025-12-23 18:52:40,2025-12-23 18:52:40
22870,STEELTECH 200046.xlsx,,STEELTECH,2025-02-03,"F,H",C82567,11:20:00,11:35:00,,,.25 HDPE BLK,SCRAP,,,,,,,2025-12-23 18:52:40,2025-12-23 18:52:40
21343,GEM IL400061.xlsx,,GEM IL400061,2025-02-04,"F,H",C82542,07:45:00,08:15:00,,,,SCRAP,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
25462,MATCON 1002406.xlsx,,MATCON,2025-02-04,"F,H",C82556,08:45:00,09:10:00,,,HDPE .25,SCRAP,,,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
25463,MATCON 1002406.xlsx,,MATCON,2025-02-04,"F,H",C82557,09:20:00,10:15:00,,,"UHMW 1""",SCRAP,,,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
25464,MATCON 1002406.xlsx,,MATCON,2025-02-04,"F,H",C82558,10:45:00,11:55:00,,,"HDPE 3""",SCRAP,,,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
24477,GEM IL400116.xlsx,,GEM IL400116,2025-02-05,"F,H",C82571,11:00:00,11:10:00,,,.25 HDPE,SCRAP,,,,,,,2025-12-23 18:52:46,2025-12-23 18:52:46
24478,GEM IL400116.xlsx,,GEM IL400116,2025-02-05,"F,H",C82572,11:15:00,11:55:00,,,.50 HDPE,SCRAP,,,,,,,2025-12-23 18:52:46,2025-12-23 18:52:46
24479,GEM IL400116.xlsx,,GEM IL400116,2025-02-05,"F,H",C82573,12:35:00,12:50:00,,,.50 HDPE,SCRAP,,,,,,,2025-12-23 18:52:46,2025-12-23 18:52:46
24480,GEM IL400116.xlsx,,GEM IL400116,2025-02-05,"F,H",C82576,01:00:00,01:06:00,,,.50 HDPE,SCRAP,,,,,,,2025-12-23 18:52:46,2025-12-23 18:52:46
24481,GEM IL400116.xlsx,,GEM IL400116,2025-02-05,"F,H",C82577,01:06:00,01:12:00,,,.50 HDPE,SCRAP,,,,,,,2025-12-23 18:52:46,2025-12-23 18:52:46
24482,GEM IL400116.xlsx,,GEM IL400116,2025-02-05,"F,H",C82579,01:15:00,01:25:00,,,.750 HDPE,SCRAP,,,,,,,2025-12-23 18:52:46,2025-12-23 18:52:46
24484,GEM IL400116.xlsx,,GEM IL400116,2025-02-05,"F,H",C82578,02:20:00,02:30:00,,,1.5 HDPE,SCRAP,,,,,,,2025-12-23 18:52:46,2025-12-23 18:52:46
